"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Generic coverage (contract/smoke) test for global/utilityBarContainer on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","96","global/utilityBarContainer","","2026-06-08","passed","2026-06-08","","Generic — home","",""
"Generic coverage (contract/smoke) test for runtime_sales/lightningPrimitiveBubble on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","182","runtime_sales/lightningPrimitiveBubble","","2026-06-08","passed","2026-06-08","","Generic — console","",""
"Generic coverage (contract/smoke) test for global/header on the setup page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","928","global/header","","2026-06-08","passed","2026-06-08","","Generic — setup","",""
"Generic coverage (contract/smoke) test for lightning/primitiveBubble on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","101","lightning/primitiveBubble","","2026-06-08","passed","2026-06-08","","Generic — home","",""
"Generic coverage (contract/smoke) test for lightning/primitiveBubble on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","245","lightning/primitiveBubble","","2026-06-08","passed","2026-06-08","","Generic — console","",""
"Generic coverage (contract/smoke) test for aura/btHomePage on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","96","aura/btHomePage","","2026-06-08","passed","2026-06-08","","Generic — console","",""
"Aggregate coverage across 8 page objects discovered on the console page. Each matched page object was loaded; every method was EXECUTED against the live DOM with curated or synthesized arguments and its return value type-checked; every public element was resolved against the live DOM. This is a contract/smoke level check of the page-object↔DOM binding — it does NOT assert behavioral outcomes, and parameterized members without a curated value are counted under *_skipped, not passed. Failure kinds are aggregated below to surface systemic patterns.","0","Coverage summary — console","","2026-06-08","passed","2026-06-08","","Coverage — console","",""
"Generic coverage (contract/smoke) test for salesforceapp/record/slidePanel on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","59","salesforceapp/record/slidePanel","","2026-06-08","passed","2026-06-08","","Generic — home","",""
"Clicks the standard 'Accounts' nav tab and asserts the browser navigated to the Account object surface (URL contains /lightning/o/Account or /Account/). Verifies the click produced its navigation effect, not merely that the tab element resolved.","16","app_nav_tab_click_navigates","","2026-06-08","skipped","2026-06-08","","Behavioral","",""
"Aggregate coverage across 4 page objects discovered on the account_detail page. Each matched page object was loaded; every method was EXECUTED against the live DOM with curated or synthesized arguments and its return value type-checked; every public element was resolved against the live DOM. This is a contract/smoke level check of the page-object↔DOM binding — it does NOT assert behavioral outcomes, and parameterized members without a curated value are counted under *_skipped, not passed. Failure kinds are aggregated below to surface systemic patterns.","0","Coverage summary — account_detail","","2026-06-08","passed","2026-06-08","","Coverage — account_detail","",""
"Generic coverage (contract/smoke) test for global/header on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","170","global/header","","2026-06-08","passed","2026-06-08","","Generic — home","",""
"Aggregate coverage across 6 page objects discovered on the setup page. Each matched page object was loaded; every method was EXECUTED against the live DOM with curated or synthesized arguments and its return value type-checked; every public element was resolved against the live DOM. This is a contract/smoke level check of the page-object↔DOM binding — it does NOT assert behavioral outcomes, and parameterized members without a curated value are counted under *_skipped, not passed. Failure kinds are aggregated below to surface systemic patterns.","0","Coverage summary — setup","","2026-06-08","passed","2026-06-08","","Coverage — setup","",""
"Loads global/header, drives getSearch with a real term (the seeded Account name), and asserts the browser navigated to the global search results surface. Verifies the search action's effect, not merely that the search element resolved.","20011","global_search_navigates_to_results","","2026-06-08","skipped","2026-06-08","","Behavioral","",""
"Generic coverage (contract/smoke) test for runtime_sales/lightningPrimitiveBubble on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","121","runtime_sales/lightningPrimitiveBubble","","2026-06-08","passed","2026-06-08","","Generic — home","",""
"Generic coverage (contract/smoke) test for navex/workspace on the setup page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","96","navex/workspace","","2026-06-08","passed","2026-06-08","","Generic — setup","",""
"Generic coverage (contract/smoke) test for salesforceapp/record/slidePanel on the account_detail page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","90","salesforceapp/record/slidePanel","","2026-06-08","passed","2026-06-08","","Generic — account_detail","",""
"Generic coverage (contract/smoke) test for aura/btHomePage on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","72","aura/btHomePage","","2026-06-08","passed","2026-06-08","","Generic — home","",""
"Generic coverage (contract/smoke) test for setup/setupNavTree on the setup page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","116","setup/setupNavTree","","2026-06-08","passed","2026-06-08","","Generic — setup","",""
"Generic coverage (contract/smoke) test for global/globalCreate on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","68","global/globalCreate","","2026-06-08","passed","2026-06-08","","Generic — home","",""
"Generic coverage (contract/smoke) test for global/utilityBarContainer on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","214","global/utilityBarContainer","","2026-06-08","passed","2026-06-08","","Generic — console","",""
"Aggregate coverage across 8 page objects discovered on the home page. Each matched page object was loaded; every method was EXECUTED against the live DOM with curated or synthesized arguments and its return value type-checked; every public element was resolved against the live DOM. This is a contract/smoke level check of the page-object↔DOM binding — it does NOT assert behavioral outcomes, and parameterized members without a curated value are counted under *_skipped, not passed. Failure kinds are aggregated below to surface systemic patterns.","0","Coverage summary — home","","2026-06-08","passed","2026-06-08","","Coverage — home","",""
"Generic coverage (contract/smoke) test for salesforceapp/record/slidePanel on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","94","salesforceapp/record/slidePanel","","2026-06-08","passed","2026-06-08","","Generic — console","",""
