"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Generic coverage (contract/smoke) test for navex/workspaceManager on the setup page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","58","navex/workspaceManager","","2026-06-07","passed","2026-06-07","","Generic — setup","",""
"","0","devops/center/baseComponent","","2026-06-07","skipped","2026-06-07","","Generic — home","",""
"Loads global/header, drives getSearch with a real term (the seeded Account name), and asserts the browser navigated to the global search results surface. Verifies the search action's effect, not merely that the search element resolved.","20048","global_search_navigates_to_results","","2026-06-07","skipped","2026-06-07","","Behavioral","",""
"Generic coverage (contract/smoke) test for global/utilityBarContainer on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","105","global/utilityBarContainer","","2026-06-07","passed","2026-06-07","","Generic — home","",""
"Generic coverage (contract/smoke) test for navex/workspace on the setup page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","36","navex/workspace","","2026-06-07","passed","2026-06-07","","Generic — setup","",""
"Aggregate coverage across 8 page objects discovered on the home page. Each matched page object was loaded; every method was EXECUTED against the live DOM with curated or synthesized arguments and its return value type-checked; every public element was resolved against the live DOM. This is a contract/smoke level check of the page-object↔DOM binding — it does NOT assert behavioral outcomes, and parameterized members without a curated value are counted under *_skipped, not passed. Failure kinds are aggregated below to surface systemic patterns.","0","Coverage summary — home","","2026-06-07","passed","2026-06-07","","Coverage — home","",""
"Generic coverage (contract/smoke) test for global/header on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","134","global/header","","2026-06-07","passed","2026-06-07","","Generic — console","",""
"Generic coverage (contract/smoke) test for global/header on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","161","global/header","","2026-06-07","passed","2026-06-07","","Generic — home","",""
"Generic coverage (contract/smoke) test for aura/btHomePage on the account_detail page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","48","aura/btHomePage","","2026-06-07","passed","2026-06-07","","Generic — account_detail","",""
"Generic coverage (contract/smoke) test for global/utilityBarContainer on the account_detail page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","76","global/utilityBarContainer","","2026-06-07","passed","2026-06-07","","Generic — account_detail","",""
"Generic coverage (contract/smoke) test for global/globalCreate on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","73","global/globalCreate","","2026-06-07","passed","2026-06-07","","Generic — console","",""
"Generic coverage (contract/smoke) test for runtime_sales/lightningPrimitiveBubble on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","119","runtime_sales/lightningPrimitiveBubble","","2026-06-07","passed","2026-06-07","","Generic — console","",""
"Aggregate coverage across 6 page objects discovered on the setup page. Each matched page object was loaded; every method was EXECUTED against the live DOM with curated or synthesized arguments and its return value type-checked; every public element was resolved against the live DOM. This is a contract/smoke level check of the page-object↔DOM binding — it does NOT assert behavioral outcomes, and parameterized members without a curated value are counted under *_skipped, not passed. Failure kinds are aggregated below to surface systemic patterns.","0","Coverage summary — setup","","2026-06-07","passed","2026-06-07","","Coverage — setup","",""
"Clicks the standard 'Accounts' nav tab and asserts the browser navigated to the Account object surface (URL contains /lightning/o/Account or /Account/). Verifies the click produced its navigation effect, not merely that the tab element resolved.","6","app_nav_tab_click_navigates","","2026-06-07","skipped","2026-06-07","","Behavioral","",""
"Generic coverage (contract/smoke) test for global/header on the account_detail page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","2185","global/header","","2026-06-07","passed","2026-06-07","","Generic — account_detail","",""
